horas_trabajadas;masculino;edad_ingreso;colegio_publico;argentino;activo_primer_anio;activo_segundo_anio;anios_en_unlu;aprobadas_1er_anio;anios_cursados;c_promociones_1er_anio;c_libres_1er_anio;c_regulares_1er_anio;c_ausentes_1er_anio;c_noausentes_1er_anio;cursadas_ap_1er_anio;cursadas_1er_anio;cambio_universidad;cambio_carrera;progresar;fracaso_academico
4;0;18;0;1;1;1;3;1;3;1;2;3;1;6;4;7;0;0;1;0
45;0;25;0;1;1;1;3;7;3;7;0;1;0;8;8;8;0;0;0;0
0;0;19;0;1;1;1;3;7;3;5;2;2;0;9;7;9;0;0;0;0
0;1;19;0;1;1;1;2;2;2;1;3;2;0;6;3;6;0;0;0;0
0;1;19;0;1;1;1;2;1;2;1;4;2;0;7;3;7;0;0;0;1
0;1;18;0;1;1;1;2;1;2;0;4;3;1;7;3;8;0;0;0;0
0;1;18;0;1;1;1;3;2;3;0;5;3;0;8;3;8;0;0;1;1
0;0;20;1;0;1;1;3;0;3;0;4;0;5;4;0;9;0;0;1;0
0;0;21;1;1;1;1;3;1;3;1;1;0;3;2;1;5;0;0;1;0
40;1;39;1;1;1;1;2;4;2;2;2;2;2;6;4;8;0;0;0;0
0;0;28;1;1;1;0;1;0;1;0;0;0;5;0;0;5;0;0;0;0
21;0;22;0;1;1;1;3;3;3;2;1;2;4;5;4;9;0;1;1;0
0;0;22;1;1;1;0;1;0;1;0;1;1;3;2;1;5;0;0;0;0
0;0;18;1;1;1;1;3;6;3;5;2;1;0;8;6;8;0;0;1;0
0;0;18;0;1;1;1;3;6;3;5;1;2;1;8;7;9;0;0;0;0
40;1;21;0;1;1;1;3;5;3;4;1;1;1;6;5;7;0;0;0;0
48;0;25;1;1;1;1;3;3;3;2;0;0;4;2;2;6;0;0;0;0
30;1;28;1;1;1;1;2;0;2;0;3;1;2;4;1;6;0;0;0;0
0;0;20;1;1;1;0;1;3;1;3;0;0;1;3;3;4;0;0;1;0
0;0;20;0;1;1;1;3;3;3;2;2;1;2;5;3;7;0;0;1;0
49;0;19;1;1;1;0;1;0;1;0;3;1;1;4;1;5;0;0;0;1
36;1;37;0;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
48;0;22;0;1;1;1;3;5;3;4;2;1;0;7;5;7;0;0;0;0
45;0;49;1;1;1;0;1;3;1;3;0;0;1;3;3;4;0;0;0;0
45;1;34;1;1;1;1;3;0;3;0;4;2;0;6;2;6;0;0;0;1
70;1;31;0;1;1;0;1;1;1;1;2;0;4;3;1;7;0;0;0;0
40;0;24;1;1;1;0;1;1;1;1;0;0;4;1;1;5;0;0;0;0
35;1;24;0;1;1;1;3;6;3;5;0;1;2;6;6;8;0;1;0;0
30;1;23;0;1;1;1;2;8;2;8;0;0;0;8;8;8;1;0;0;0
40;0;20;0;1;1;1;2;0;2;0;3;1;1;4;1;5;0;0;0;1
0;0;21;1;1;1;0;1;2;1;0;0;3;5;3;3;8;0;0;0;0
16;0;19;1;1;1;0;1;0;1;0;0;0;5;0;0;5;0;0;0;0
0;0;18;0;1;1;0;1;0;1;0;6;0;2;6;0;8;0;0;0;1
45;1;18;0;1;1;1;3;2;3;2;1;0;4;3;2;7;0;0;0;0
0;0;18;1;1;1;0;1;0;1;0;6;1;2;7;1;9;0;0;1;1
45;1;30;1;0;1;1;2;0;2;0;0;1;5;1;1;6;0;0;0;0
0;0;47;1;1;1;0;1;0;1;0;1;0;3;1;0;4;0;0;0;0
40;0;32;1;1;1;0;1;0;1;0;1;1;0;2;1;2;0;0;0;0
45;0;29;0;1;1;0;1;0;1;0;1;0;4;1;0;5;0;0;0;0
48;0;27;0;1;1;0;1;0;1;0;1;0;3;1;0;4;0;0;0;0
40;0;27;1;1;1;0;1;0;1;0;1;0;4;1;0;5;0;0;0;0
4;0;22;0;1;1;1;3;6;3;5;1;1;2;7;6;9;0;0;0;0
0;1;22;1;1;1;0;1;1;1;1;0;0;5;1;1;6;0;0;0;0
0;1;21;1;1;1;1;2;4;2;4;3;0;1;7;4;8;0;0;1;0
45;0;21;0;1;1;1;2;3;2;2;0;1;0;3;3;3;0;1;0;0
0;0;19;1;1;1;1;2;0;2;0;2;1;3;3;1;6;0;0;0;0
45;1;24;1;1;1;1;2;1;2;1;1;0;2;2;1;4;0;0;0;0
0;0;18;1;1;1;1;2;3;2;0;3;4;1;7;4;8;0;0;0;0
56;0;35;1;1;1;0;1;0;1;0;1;0;2;1;0;3;0;0;0;0
0;1;24;0;1;1;1;3;1;3;1;2;5;0;8;6;8;0;0;0;0
0;0;25;0;1;1;1;2;2;2;0;1;5;0;6;5;6;0;0;0;0
44;1;23;1;1;1;0;1;0;1;0;4;1;0;5;1;5;0;0;0;1
30;0;23;1;1;1;1;3;0;3;0;0;1;6;1;1;7;0;0;0;0
0;0;20;0;1;1;1;3;0;3;0;1;1;7;2;1;9;0;0;0;0
36;0;38;1;1;1;0;1;1;1;1;0;0;2;1;1;3;0;0;0;0
60;1;30;1;1;1;0;1;0;1;0;0;1;3;1;1;4;0;0;0;0
51;0;22;1;1;1;1;3;0;3;0;0;0;3;0;0;3;0;0;0;0
30;1;20;0;1;1;1;2;6;2;5;2;1;1;8;6;9;0;0;0;0
36;0;45;0;1;1;1;3;3;3;2;0;1;2;3;3;5;0;0;0;0
45;0;41;0;1;1;1;3;2;3;2;1;1;2;4;3;6;0;0;0;0
48;1;36;0;1;1;1;3;3;3;3;1;0;1;4;3;5;0;0;0;0
54;1;27;0;1;1;1;3;0;3;0;0;1;3;1;1;4;0;0;0;0
48;1;24;0;1;1;0;1;0;1;0;1;0;1;1;0;2;0;0;0;0
45;0;23;0;1;1;0;1;0;1;0;1;0;3;1;0;4;0;0;0;0
40;0;22;1;1;1;0;1;0;1;0;2;1;2;3;1;5;0;0;1;0
45;0;42;0;1;1;0;1;1;1;1;0;0;3;2;1;5;0;0;0;0
0;0;36;0;1;1;1;3;7;3;6;0;1;0;8;7;8;0;0;0;0
0;0;31;1;1;1;1;3;1;3;1;1;1;8;4;2;12;0;0;0;0
6;0;23;0;1;1;1;3;4;3;2;1;3;0;6;5;6;0;0;0;0
40;1;22;1;1;1;1;3;1;3;1;1;1;6;4;2;10;0;0;0;0
36;0;21;0;1;1;0;1;1;1;1;0;0;1;1;1;2;0;0;0;0
0;0;21;0;1;1;0;1;0;1;0;1;0;4;2;0;6;0;0;0;0
0;1;21;1;1;1;0;1;0;1;0;0;0;4;0;0;4;0;0;0;0
10;0;21;1;1;1;0;1;0;1;0;0;1;3;2;1;5;0;0;0;0
48;1;20;1;1;1;1;2;2;2;2;1;3;1;7;5;8;0;1;0;0
48;0;19;0;1;1;0;1;1;1;1;1;1;5;4;2;9;0;1;0;0
0;1;18;0;1;1;1;3;7;3;7;0;1;0;9;8;9;0;0;0;0
0;0;17;0;1;1;0;1;2;1;2;2;2;6;7;4;13;0;0;1;0
8;0;19;1;0;1;1;2;0;2;0;2;0;8;3;0;11;0;0;0;0
25;0;49;1;1;1;0;1;1;1;1;1;0;2;3;1;5;0;0;0;0
24;0;25;1;1;1;0;1;1;1;1;1;0;6;3;1;9;0;0;0;0
0;0;25;0;1;1;1;2;5;2;5;0;2;3;8;7;11;0;0;0;0
30;0;18;0;1;1;1;2;4;2;2;0;3;0;6;5;6;1;0;0;0
0;0;27;1;0;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
0;0;19;1;0;1;1;3;3;3;3;3;2;0;9;5;9;0;0;0;0
0;0;41;1;1;1;1;2;5;2;3;2;1;2;7;4;9;0;0;0;0
36;0;25;1;1;1;1;3;7;3;5;1;2;2;9;7;11;0;0;0;0
15;0;19;0;1;1;1;3;6;3;6;0;0;0;6;6;6;0;0;0;0
0;1;20;1;1;1;0;1;0;1;0;0;0;8;1;0;9;0;0;0;0
28;0;33;1;1;1;1;2;6;2;6;0;3;1;10;9;11;0;0;0;0
0;0;23;0;1;1;0;1;1;1;1;4;1;2;7;2;9;0;0;0;0
6;0;20;0;1;1;1;3;4;3;4;0;2;3;7;6;10;0;0;0;0
0;0;19;0;1;1;1;3;3;3;1;1;5;1;8;6;9;0;0;1;0
6;0;55;1;1;1;0;1;0;1;0;0;0;7;1;0;8;0;0;0;0
9;0;29;1;1;1;1;3;0;3;0;0;0;4;1;0;5;0;0;0;0
0;0;25;1;1;1;0;1;0;1;0;0;0;4;1;0;5;0;0;0;0
15;0;24;0;1;1;0;1;0;1;0;1;0;4;2;0;6;0;0;0;0
0;0;43;1;1;1;1;3;5;3;5;0;2;1;8;7;9;0;0;0;0
30;1;36;1;1;1;1;3;3;3;3;2;0;5;5;3;10;0;0;0;0
8;0;29;1;1;1;1;3;2;3;2;0;2;3;5;4;8;0;0;0;0
0;0;19;0;1;1;1;3;0;3;0;3;1;3;5;1;8;0;0;0;0
0;0;33;1;1;1;1;3;4;3;3;0;3;2;7;6;9;0;0;0;0
40;0;30;0;1;1;1;2;1;2;1;1;1;7;4;2;11;0;0;0;0
9;1;29;0;1;1;0;1;0;1;0;1;2;5;4;2;9;0;0;0;0
9;0;28;1;1;1;0;3;2;3;2;0;0;0;2;2;2;0;1;0;0
8;0;27;1;1;1;1;2;1;2;1;1;1;5;4;2;9;0;1;0;0
0;0;26;1;1;1;1;2;1;2;1;1;1;3;4;2;7;0;0;0;0
48;1;24;0;1;1;1;3;2;3;2;1;1;4;5;3;9;0;0;0;0
35;0;24;0;1;1;1;2;1;2;1;1;0;4;3;1;7;0;0;0;0
30;0;23;1;1;1;1;3;0;3;0;0;1;8;2;1;10;0;0;0;0
48;1;22;0;1;1;1;3;3;3;2;1;1;3;4;3;7;0;0;0;0
0;0;19;0;1;1;0;1;0;1;0;0;0;8;1;0;9;0;0;0;0
0;0;19;1;1;1;0;1;0;1;0;2;1;3;4;1;7;0;0;1;0
40;1;30;1;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
32;0;20;0;1;1;0;1;1;1;1;5;0;0;6;1;6;0;0;0;1
0;0;33;1;1;1;1;2;3;2;3;4;0;8;8;3;16;0;1;0;0
40;0;32;1;1;1;1;3;2;3;2;0;0;7;3;2;10;0;0;0;0
40;0;33;1;1;1;0;1;0;1;0;1;1;7;3;1;10;0;0;0;0
0;0;20;0;1;1;1;2;0;2;0;3;0;8;4;0;12;0;1;0;0
0;0;20;1;1;1;0;1;0;1;0;0;1;4;2;1;6;0;0;0;0
0;0;18;1;1;1;0;1;0;1;0;0;1;4;2;1;6;0;0;0;0
8;0;18;0;1;1;1;2;5;2;4;1;3;2;9;7;11;1;0;0;0
21;0;27;1;0;1;1;3;8;3;8;0;0;5;9;8;14;0;0;0;0
4;0;27;1;1;1;0;1;1;1;1;0;0;3;1;1;4;0;0;0;0
0;0;20;0;1;1;0;1;1;1;1;3;1;1;6;2;7;0;0;0;0
0;0;18;0;1;1;1;3;6;3;4;0;3;0;8;7;8;0;0;0;0
0;0;37;1;1;1;0;1;2;1;2;1;1;2;5;3;7;0;0;0;0
0;0;37;1;1;1;0;1;1;1;1;0;0;2;2;1;4;0;0;0;0
36;1;27;1;1;1;0;1;0;1;0;4;0;1;4;0;5;0;0;0;1
30;0;22;0;1;1;1;3;2;3;2;0;1;3;4;3;7;0;0;0;0
0;0;22;0;1;1;0;1;0;1;0;0;0;5;0;0;5;0;0;0;0
0;0;19;0;1;1;0;1;1;1;1;0;0;4;2;1;6;0;0;0;0
0;0;19;0;0;1;1;3;6;3;5;2;1;1;9;6;10;0;0;0;0
0;1;23;0;1;1;1;2;2;2;1;1;5;0;7;6;7;0;0;0;0
0;0;18;1;1;1;1;2;0;2;0;3;1;3;4;1;7;0;0;1;0
70;0;56;0;1;1;1;3;2;3;1;2;2;3;6;3;9;0;0;0;0
15;0;34;1;1;1;1;3;2;3;2;1;2;2;6;4;8;0;0;0;0
0;0;28;1;1;1;0;1;1;1;1;1;0;6;2;1;8;0;0;0;0
30;0;20;0;1;1;1;2;2;2;2;2;0;0;4;2;4;0;0;0;0
16;0;18;1;1;1;1;3;4;3;4;0;2;0;6;6;6;0;0;0;0
25;0;56;1;1;1;1;3;3;3;1;0;3;4;4;4;8;0;1;0;0
0;0;57;1;1;1;0;1;0;1;0;1;0;3;2;0;5;0;0;0;0
40;0;46;0;1;1;0;1;1;1;1;1;0;2;3;1;5;0;0;0;0
40;0;37;1;1;1;0;1;0;1;0;0;0;3;1;0;4;0;0;0;0
6;0;35;1;1;1;0;1;0;1;0;0;0;3;1;0;4;0;0;0;0
8;0;34;1;1;1;0;1;0;1;0;0;0;4;0;0;4;0;0;0;0
40;0;35;1;1;1;1;3;3;3;3;0;1;0;4;4;4;0;0;0;0
20;0;27;1;1;1;0;1;0;1;0;0;0;2;0;0;2;0;0;0;0
6;0;23;1;1;1;0;1;1;1;1;2;0;4;4;1;8;0;0;0;0
0;0;20;1;1;1;1;3;1;3;1;1;0;4;2;1;6;0;0;0;0
0;1;19;0;1;1;0;1;0;1;0;1;1;1;2;1;3;0;0;0;0
6;0;18;0;1;1;0;1;0;1;0;0;0;3;1;0;4;0;0;0;0
0;0;19;1;0;1;1;3;0;3;0;4;0;2;5;0;7;0;0;0;1
35;1;23;1;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0
11;1;31;1;1;1;1;3;1;3;1;1;1;1;3;2;4;0;0;0;0
40;0;44;1;1;1;0;1;0;1;0;1;0;1;1;0;2;0;0;0;0
12;0;51;1;1;1;0;1;1;1;1;3;0;6;5;1;11;0;0;0;0
5;0;43;1;1;1;1;3;4;3;3;0;1;3;5;4;8;0;0;0;0
30;0;41;1;1;1;1;2;3;2;3;1;1;1;6;4;7;0;0;0;0
4;0;37;1;1;1;1;3;3;3;2;0;2;3;5;4;8;0;0;0;0
8;0;37;1;1;1;1;2;1;2;1;3;1;2;6;2;8;0;0;0;0
0;0;32;1;1;1;1;3;4;3;4;0;3;1;8;7;9;0;0;0;0
0;0;31;1;1;1;1;3;7;3;6;0;1;0;8;7;8;0;0;0;0
8;0;23;0;1;1;1;3;4;3;4;0;1;1;6;5;7;0;0;0;0
20;0;20;1;1;1;1;3;3;3;3;0;3;3;7;6;10;0;0;0;0
32;0;20;0;1;1;0;1;2;1;2;2;1;2;6;3;8;0;0;0;0
48;0;20;1;1;1;1;3;4;3;4;1;1;1;7;5;8;0;0;0;0
0;0;20;0;1;1;0;1;1;1;1;4;2;2;8;3;10;0;0;0;0
40;0;20;0;1;1;1;2;1;2;1;1;3;4;6;4;10;0;0;0;0
48;0;29;1;1;1;1;3;1;3;1;0;0;6;2;1;8;0;0;0;0
30;0;47;1;1;1;1;2;1;2;1;4;1;1;7;2;8;0;0;0;0
0;0;18;1;1;1;0;1;0;1;0;2;1;1;4;1;5;0;0;0;0
0;0;18;0;1;1;1;3;1;3;1;3;2;2;7;3;9;0;0;1;0
0;0;23;0;1;1;0;1;0;1;0;1;2;2;4;2;6;0;0;0;0
8;0;20;1;1;1;0;1;0;1;0;1;0;3;2;0;5;0;0;0;0
40;0;45;1;1;1;1;3;3;3;3;0;0;1;3;3;4;0;0;0;0
0;0;19;0;1;1;1;2;2;2;2;0;2;3;5;4;8;0;0;0;0
0;0;20;1;1;1;1;3;0;3;0;3;0;3;4;0;7;0;0;1;0
9;0;18;1;1;1;0;1;0;1;0;0;0;3;1;0;4;0;0;0;0
36;0;24;1;1;1;1;3;1;3;0;1;2;4;4;2;8;0;0;0;0
30;1;23;1;1;1;1;2;0;2;0;0;2;3;3;2;6;0;0;0;0
0;0;34;1;1;1;0;1;0;1;0;1;1;1;3;1;4;0;0;0;0
8;0;37;0;1;1;1;3;3;3;3;1;0;5;4;3;9;0;0;0;0
10;1;33;1;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
0;1;21;1;1;1;1;3;5;3;3;0;2;0;5;5;5;0;0;0;0
48;1;26;0;1;1;1;2;1;2;1;2;0;1;3;1;4;1;0;0;0
10;0;52;1;1;1;0;1;0;1;0;2;0;2;2;0;4;0;0;0;0
40;0;45;1;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
40;0;43;1;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
48;1;40;1;1;1;1;2;0;2;0;1;3;2;4;3;6;0;0;0;0
8;1;38;1;1;1;1;3;4;3;4;0;0;1;4;4;5;0;0;0;0
40;0;35;0;1;1;0;1;0;1;0;0;0;2;0;0;2;0;0;0;0
40;1;33;1;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
45;0;26;1;1;1;1;2;0;2;0;0;3;2;3;3;5;0;0;0;0
0;0;18;0;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
20;0;35;1;1;1;1;2;1;2;1;0;2;1;3;3;4;0;0;0;0
6;0;44;0;1;1;0;1;0;1;0;1;0;1;1;0;2;0;0;0;0
8;0;25;0;1;1;1;3;3;3;3;0;1;2;4;4;6;0;0;0;0
0;0;18;1;1;1;0;1;0;1;0;0;0;4;1;0;5;0;0;0;0
20;1;18;1;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
24;0;37;1;1;1;0;1;0;1;0;2;0;2;2;0;4;0;0;0;0
0;0;33;0;1;1;1;2;6;2;4;0;2;0;6;6;6;0;0;0;0
20;0;24;0;1;1;0;1;0;1;0;0;1;3;1;1;4;0;0;0;0
50;1;23;1;1;1;0;1;1;1;1;0;0;2;1;1;3;0;0;0;0
32;1;21;1;1;1;0;1;0;1;0;0;1;2;1;1;3;0;0;0;0
0;0;18;0;1;1;1;3;5;3;5;1;0;2;6;5;8;0;0;0;0
0;0;20;1;1;1;1;3;2;3;1;3;4;1;8;5;9;0;0;1;0
40;0;27;1;0;1;1;3;2;3;2;0;4;1;6;6;7;0;0;0;0
50;1;24;0;1;1;1;3;7;3;6;0;1;0;7;7;7;0;0;0;0
48;1;23;0;1;1;1;3;3;3;2;2;3;1;7;5;8;0;0;0;0
0;0;21;0;1;1;1;3;2;3;0;2;3;1;5;3;6;0;0;1;0
0;0;22;1;1;1;1;3;4;3;3;1;4;0;8;7;8;0;0;1;0
25;0;20;0;1;1;0;1;5;1;5;2;0;0;7;5;7;1;0;1;0
6;0;19;0;1;1;1;3;6;3;4;2;2;0;8;6;8;0;1;1;0
0;0;20;0;1;1;1;2;0;2;0;2;0;3;2;0;5;0;1;1;0
0;0;20;0;1;1;1;3;3;3;2;2;3;2;7;5;9;0;0;1;0
0;1;19;1;1;1;0;1;0;1;0;0;1;3;1;1;4;0;0;0;0
0;0;18;1;1;1;0;1;0;1;0;0;0;5;0;0;5;0;0;0;0
0;1;18;0;1;1;1;3;3;3;2;2;2;1;6;4;7;0;0;0;0
0;0;19;0;1;1;0;1;0;1;0;0;1;4;1;1;5;0;0;0;0
8;0;25;0;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
0;0;22;0;1;1;1;3;0;3;0;1;3;2;4;3;6;0;0;0;0
8;0;22;1;1;1;1;2;3;2;3;4;0;1;7;3;8;0;0;1;0
48;0;21;1;1;1;0;1;0;1;0;0;1;3;1;1;4;0;0;0;0
0;0;20;0;1;1;1;3;6;3;4;3;2;0;9;6;9;0;0;0;0
0;1;20;1;1;1;1;3;3;3;2;3;2;1;7;4;8;0;0;0;0
0;1;19;1;1;1;1;3;7;3;6;0;2;0;8;8;8;0;0;0;0
0;0;18;1;1;1;1;2;5;2;4;2;2;0;8;6;8;0;0;1;0
0;0;21;1;1;1;0;1;2;1;1;0;5;5;6;6;11;0;0;0;0
0;0;37;0;1;1;0;1;2;1;1;4;2;0;7;3;7;0;0;0;1
30;0;21;0;1;1;0;1;3;1;2;0;1;3;3;3;6;0;0;0;0
50;0;27;1;1;1;1;3;5;3;3;2;2;1;7;5;8;0;0;0;0
48;0;20;0;1;1;0;1;0;1;0;5;1;2;6;1;8;0;0;0;1
0;0;18;1;1;1;1;3;3;3;3;3;0;0;6;3;6;0;0;0;0
0;0;34;0;1;1;0;3;0;3;0;0;1;3;1;1;4;0;0;0;0
0;0;30;1;1;1;1;3;4;3;3;1;5;1;9;8;10;0;0;0;0
36;1;24;0;1;1;0;1;1;1;1;0;0;4;1;1;5;0;0;0;0
0;0;18;0;1;1;1;2;4;2;1;2;4;1;7;5;8;0;0;1;0
0;1;19;0;1;1;1;3;6;3;3;1;4;1;8;7;9;0;0;0;0
0;0;31;0;1;1;1;2;1;2;1;0;0;3;1;1;4;0;0;0;0
20;0;19;1;1;1;1;3;4;3;3;1;3;1;7;6;8;0;0;0;0
8;0;32;0;1;1;1;3;3;3;1;0;3;1;4;4;5;0;0;0;0
48;1;27;0;1;1;0;1;0;1;0;1;2;2;3;2;5;0;0;0;0
30;0;24;0;1;1;0;1;1;1;1;2;1;5;4;2;9;0;0;0;0
32;0;23;0;1;1;1;3;1;3;1;2;3;1;6;4;7;0;0;0;0
8;0;24;0;1;1;0;1;1;1;0;3;1;3;4;1;7;0;0;0;0
36;0;24;1;1;1;0;1;0;1;0;0;1;4;1;1;5;0;0;0;0
0;0;17;1;1;1;1;3;6;3;3;2;2;1;7;5;8;0;0;0;0
0;1;22;1;0;1;0;1;0;1;0;0;0;5;0;0;5;0;0;0;0
40;0;43;1;1;1;0;1;0;1;0;1;0;1;1;0;2;0;0;0;0
45;1;32;1;1;1;0;1;0;1;0;0;0;6;0;0;6;0;1;0;0
4;0;28;1;1;1;1;2;1;2;1;0;0;4;1;1;5;0;0;0;0
8;0;26;1;1;1;1;3;5;3;4;1;0;1;5;4;6;0;0;0;0
0;0;24;0;1;1;1;3;1;3;1;5;2;1;8;3;9;0;0;0;1
45;0;22;1;1;1;0;1;1;1;1;4;0;1;5;1;6;0;0;0;1
0;0;20;1;1;1;0;1;0;1;0;1;0;3;1;0;4;0;0;0;0
45;1;20;0;1;1;0;1;0;1;0;0;0;6;0;0;6;0;0;0;0
44;1;20;0;1;1;1;3;5;3;4;0;2;0;6;6;6;0;0;0;0
0;1;19;0;1;1;0;1;0;1;0;1;1;1;2;1;3;0;0;0;0
0;1;28;0;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
48;1;24;0;1;1;1;3;5;3;5;1;0;2;6;5;8;0;0;0;0
40;0;20;0;1;1;1;3;2;3;2;3;0;4;5;2;9;0;0;1;0
6;1;19;0;1;1;1;3;6;3;4;1;2;0;7;6;7;0;0;0;0
0;1;18;0;1;1;1;3;6;3;6;2;1;1;9;7;10;0;0;0;0
48;0;24;0;0;1;1;3;4;3;3;2;2;1;7;5;8;0;0;0;0
8;1;34;1;1;1;1;3;3;3;2;1;3;1;6;5;7;0;0;0;0
8;0;33;0;1;1;1;3;2;3;2;1;0;2;3;2;5;0;0;0;0
40;0;30;0;1;1;1;2;6;2;6;1;0;0;7;6;7;1;0;0;0
40;1;27;0;1;1;1;3;2;3;2;2;1;2;5;3;7;0;0;0;0
48;0;26;1;1;1;1;2;2;2;1;0;2;3;3;3;6;0;0;0;0
60;1;26;1;1;1;1;3;3;3;3;2;0;3;5;3;8;0;0;0;0
40;1;25;1;1;1;1;2;5;2;4;1;2;0;7;6;7;1;0;0;0
0;0;21;1;1;1;0;1;1;1;1;1;1;3;3;2;6;0;0;0;0
24;0;39;1;0;1;1;3;5;3;2;2;4;1;8;6;9;0;0;0;0
9;1;30;0;1;1;1;3;3;3;2;0;1;4;3;3;7;0;0;0;0
30;0;21;0;1;1;1;3;4;3;3;2;1;3;6;4;9;0;0;0;0
0;0;18;0;1;1;1;3;0;3;0;0;2;6;2;2;8;0;0;1;0
45;1;31;1;1;1;0;1;3;1;2;1;0;4;3;2;7;0;0;0;0
0;0;22;1;1;1;0;1;0;1;0;2;0;6;2;0;8;0;0;0;0
50;1;22;1;1;1;1;2;2;2;2;2;1;1;5;3;6;1;0;0;0
0;1;22;1;1;1;0;1;0;1;0;4;1;4;5;1;9;0;0;0;0
45;1;21;1;1;1;0;1;1;1;1;1;0;1;2;1;3;0;0;0;0
9;1;20;1;0;1;0;1;0;1;0;0;0;5;0;0;5;0;0;0;0
5;0;48;1;1;1;1;3;2;3;1;2;1;3;5;2;8;0;0;0;0
2;0;32;1;1;1;0;1;0;1;0;3;1;2;5;1;7;0;0;0;0
0;0;19;1;1;1;1;3;6;3;6;0;1;0;8;7;8;0;0;0;0
0;0;19;1;1;1;0;1;0;1;0;0;0;5;1;0;6;0;0;0;0
0;0;20;1;1;1;1;3;1;3;1;6;1;4;9;2;13;0;0;0;0
0;0;20;1;0;1;0;1;0;1;0;0;0;4;1;0;5;0;0;0;0
30;0;21;1;1;1;0;1;1;1;1;1;3;0;6;4;6;0;0;0;0
0;0;20;0;1;1;1;3;1;3;1;2;4;4;8;5;12;0;0;0;0
31;0;20;1;1;1;0;1;0;1;0;3;0;1;4;0;5;0;0;0;1
0;0;19;0;1;1;0;1;1;1;1;2;2;7;6;3;13;0;0;0;0
0;0;19;1;1;1;1;2;2;2;2;1;4;4;8;6;12;0;0;0;0
30;0;42;1;1;1;0;1;0;1;0;0;0;7;1;0;8;0;0;0;0
0;0;48;1;1;1;1;2;1;2;1;1;0;9;3;1;12;0;1;0;0
0;0;44;0;1;1;0;1;1;1;1;1;0;1;2;1;3;0;0;0;0
8;0;41;1;1;1;0;1;0;1;0;0;1;4;2;1;6;0;0;0;0
6;0;30;0;1;1;1;3;1;3;1;0;1;6;2;2;8;0;0;0;0
0;0;26;1;1;1;1;3;2;3;2;2;2;1;7;4;8;0;0;0;0
5;0;26;0;1;1;0;1;1;1;1;0;1;3;2;2;5;0;0;0;0
48;0;26;0;1;1;0;1;1;1;1;1;2;3;4;3;7;0;0;0;0
0;0;23;0;1;1;1;3;4;3;4;2;1;4;8;5;12;0;0;0;0
30;0;19;1;1;1;0;1;0;1;0;1;1;3;3;1;6;0;0;0;0
51;0;28;1;1;1;0;1;0;1;0;0;0;4;0;0;4;0;0;0;0
45;1;22;1;1;1;1;3;1;3;1;1;0;1;2;1;3;0;0;0;0
40;0;35;1;1;1;0;3;0;3;0;0;0;5;1;0;6;0;0;0;0
43;1;30;1;1;1;1;3;2;3;1;1;2;1;4;3;5;0;0;0;0
48;1;30;1;1;1;1;2;2;2;2;3;1;3;6;3;9;0;0;0;0
0;0;27;1;1;1;1;2;0;2;0;1;2;4;4;2;8;0;0;0;0
20;0;23;0;1;1;1;2;0;2;0;0;0;5;1;0;6;0;0;0;0
40;0;31;1;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
0;0;20;0;1;1;1;2;0;2;0;0;0;5;0;0;5;0;0;0;0
10;0;33;0;1;1;0;1;0;1;0;2;0;3;2;0;5;0;0;0;0
60;0;28;1;1;1;0;1;1;1;1;2;0;1;4;1;5;0;0;0;0
30;0;27;0;1;1;1;3;0;3;0;2;0;5;2;0;7;0;0;0;0
36;0;25;0;1;1;1;3;3;3;1;2;1;2;5;2;7;0;0;0;0
40;0;24;1;1;1;1;3;4;3;4;0;1;2;6;5;8;0;0;0;0
0;0;20;1;1;1;1;3;0;3;0;1;0;2;1;0;3;0;0;1;0
8;0;19;0;1;1;1;3;1;3;0;0;1;5;2;1;7;0;0;0;0
0;0;20;1;1;1;1;3;3;3;1;6;1;1;8;2;9;0;0;1;1
2;0;33;1;1;1;0;1;0;1;0;1;1;0;2;1;2;0;0;0;0
7;0;41;1;1;1;0;1;0;1;0;0;0;5;1;0;6;0;0;0;0
0;0;35;1;1;1;0;1;0;1;0;0;0;5;1;0;6;0;0;0;0
0;0;34;1;1;1;0;1;0;1;0;0;1;3;2;1;5;0;0;0;0
0;0;28;1;1;1;0;1;0;1;0;1;1;3;3;1;6;0;0;0;0
0;0;23;1;1;1;0;1;0;1;0;0;0;4;1;0;5;0;0;0;0
30;0;35;0;1;1;1;3;4;3;3;0;2;0;6;5;6;0;0;0;0
